iter	Passed	Remaining
398	85629	128980
399	85865	128798
400	86108	128626
401	86340	128436
402	86560	128230
403	86810	128067
404	87075	127925
405	87329	127768
406	87595	127627
407	87894	127533
408	88149	127374
409	88378	127179
410	88634	127021
411	88881	126850
412	89114	126659
413	89352	126474
414	89586	126284
415	89819	126092
416	90067	125922
417	90313	125747
418	90565	125580
419	90793	125381
420	91046	125215
421	91361	125134
422	91608	124960
423	91839	124763
424	92048	124536
425	92264	124319
426	92593	124253
427	92883	124134
428	93099	123915
429	93313	123694
430	93520	123464
431	93723	123229
432	93940	123011
433	94147	122782
434	94359	122559
435	94566	122329
436	94768	122093
437	94974	121861
438	95184	121637
439	95384	121398
440	95603	121184
441	95831	120982
442	96068	120790
443	96291	120581
444	96493	120345
445	96738	120163
446	96945	119935
447	97151	119704
448	97360	119478
449	97630	119326
450	97947	119230
451	98158	119006
452	98357	118766
453	98562	118534
454	98777	118315
455	98988	118091
456	99216	117887
457	99444	117683
458	99713	117527
459	99954	117337
460	100197	117150
461	100435	116957
462	100679	116771
463	100945	116609
464	101184	116416
465	101399	116195
466	101626	115989
467	101831	115757
468	102047	115537
469	102264	115319
470	102476	115095
471	102678	114860
472	102888	114635
473	103104	114415
474	103311	114186
475	103578	114023
476	103814	113825
477	104014	113589
478	104228	113367
479	104438	113141
480	104656	112924
481	104878	112711
482	105100	112499
483	105384	112351
484	105678	112214
485	105930	112033
486	106155	111822
487	106372	111603
488	106604	111400
489	106815	111175
490	107021	110944
491	107249	110737
492	107459	110511
493	107672	110287
494	107875	110055
495	108073	109816
496	108269	109576
497	108479	109351
498	108685	109120
499	108887	108887
500	109087	108652
501	109286	108415
502	109488	108182
503	109684	107943
504	109910	107734
505	110133	107521
506	110359	107311
507	110578	107095
508	110786	106868
509	110997	106644
510	111212	106424
511	111457	106232
512	111687	106027
513	111918	105822
514	112172	105638
515	112402	105431
516	112602	105197
517	112806	104966
518	113046	104769
519	113297	104582
520	113515	104364
521	113731	104144
522	113930	103909
523	114131	103676
524	114364	103473
525	114612	103281
526	114865	103095
527	115114	102905
528	115349	102702
529	115611	102523
530	115841	102315
531	116072	102108
532	116285	101885
533	116488	101654
534	116694	101425
535	116904	101201
536	117119	100979
537	117319	100746
538	117542	100532
